word,score
b'm\xc3\xbcssen',0.5405309242245941
b'mensch',0.5466027537507708
b'sollen',0.5412124431763343
b'sozial',0.4727460281851457
b'gut',0.5709098492015553
b'\xc3\xb6ffentlich',0.5096592372895312
b'mehr',0.5565614973864739
b'brauchen',0.5774881586054932
b'd\xc3\xbcrfen',0.47223947788180404
b'besch\xc3\xa4ftigter',0.48779096705612635
b'linke',0.38913721478895996
b'recht',0.49908903578077657
b'sowie',0.5532055517629937
b'fordern',0.36435231067604623
b'leben',0.5413265115328653
b'neu',0.6112807944893219
b'arbeit',0.5401887129660037
b'jahr',0.495904140587763
b'daf\xc3\xbcr',0.6453125014450748
b'st\xc3\xa4rken',0.6052935408057528
b'euro',0.44082312692413744
b'land',0.5603788952987834
b'schaffen',0.6050463428693527
b'kind',0.5199506864466747
b'\xc3\xb6kologisch',0.5252916363708157
b'setzen',0.5811381008792683
b'gerecht',0.5160058523207204
b'f\xc3\xb6rdern',0.5723746425850227
b'unternehmen',0.5739708176538234
b'deutschland',0.48013733820626153
b'stark',0.600081928304635
b'statt',0.4373902179799161
b'vieler',0.5495149674751728
b'gesellschaft',0.5588894461735537
b'unterst\xc3\xbctzen',0.6348006481783615
b'prozent',0.530553442975072
b'gro\xc3\x9f',0.5520356694112718
b'vgl.',0.391
b'bildung',0.5262143792922058
b'frau',0.5448100891721807
b'kapitel',0.41480736195414486
b'europ\xc3\xa4isch',0.5892433081082471
b'gesetzlich',0.5055967339467687
b'solidarisch',0.4752317323878643
b'geben',0.5477214676194464
b'stellen',0.49666561389696395
b'gelten',0.5502717130750996
b'stehen',0.5145607371154415
b'kommune',0.5435070774140776
b'digital',0.6137938098966145
b'demokratie',0.5437413920357159
b'gehen',0.5506470806839213
b'demokratisch',0.5399686696735145
b'erhalten',0.4819211080054679
b'hoch',0.48818112880871534
b'gesellschaftlich',0.5487841254009437
b'deshalb',0.5687438421645226
b'schule',0.501548721931699
b'einkommen',0.4993337280892134
b'lehnen',0.3647403725985749
b'immer',0.5296047630296137
b'gleich',0.5307416560985669
b'zugang',0.569717727922904
b'wirtschaft',0.5307610020676012
b'unabh\xc3\xa4ngig',0.5547772262112391
b'ausbauen',0.5795318777789003
b'lohn',0.5136017847120709
b'gewalt',0.5296332317222678
b'konzern',0.43656636321071907
b'bund',0.562894268538872
b'bundesregierung',0.4173575036341429
b'erm\xc3\xb6glichen',0.597870941103293
b'infrastruktur',0.5170482748461861
b'arbeitsplatz',0.5122912933443502
b'sicherheit',0.5449377529910132
b'zukunft',0.5867704575670853
b'sch\xc3\xbctzen',0.6349057409606284
b'politisch',0.4942490924453571
b'sicher',0.5904261632436775
b'abschaffen',0.48132663916885904
