sollen,364,0.009902336842677984
mensch,260,0.007073097744769988
gut,259,0.007045893522674719
mehr,222,0.006039337305149759
stärken,217,0.005903316194673413
europäisch,214,0.0058217035283876055
dafür,209,0.0056856824179112595
sowie,191,0.0051960064201964145
brauchen,188,0.005114393753910607
neu,188,0.005114393753910607
müssen,185,0.005032781087624799
land,155,0.004216654424766724
setzen,148,0.0040262248700998395
deutschland,146,0.003971816425909301
schaffen,142,0.0038629995375282244
gemeinsam,141,0.0038357953154329553
öffentlich,134,0.003645365760766071
unterstützen,129,0.003509344650289725
stark,126,0.0034277319840039172
fördern,121,0.0032917108735275717
kind,119,0.003237302429337033
international,106,0.0028836475420985336
digital,102,0.0027748306537174567
sozial,100,0.0027204222095269185
ermöglichen,99,0.0026932179874316494
leben,99,0.0026932179874316494
nachhaltig,96,0.002611605321145842
deshalb,93,0.0025299926548600343
unternehmen,93,0.0025299926548600343
jahr,91,0.002475584210669496
gesellschaft,87,0.002366767322288419
groß,85,0.002312358878097881
staat,85,0.002312358878097881
schützen,84,0.002285154656002612
global,83,0.0022579504339073422
recht,83,0.0022579504339073422
immer,81,0.002203541989716804
ziel,81,0.002203541989716804
geben,80,0.002176337767621535
gelten,78,0.0021219293234309967
vieler,75,0.002040316657145189
kommune,70,0.001904295546668843
schutz,69,0.0018770913245735737
sicher,68,0.0018498871024783046
europa,68,0.0018498871024783046
frau,67,0.0018226828803830355
dürfen,66,0.0017954786582877662
dabei,66,0.0017954786582877662
wichtig,66,0.0017954786582877662
beispiel,64,0.001741070214097228
deutsch,64,0.001741070214097228
ausbauen,64,0.001741070214097228
hoch,64,0.001741070214097228
sorgen,64,0.001741070214097228
politisch,63,0.0017138659920019586
arbeit,60,0.001632253325716151
zugang,60,0.001632253325716151
sicherheit,59,0.001605049103620882
bildung,58,0.0015778448815256128
insbesondere,58,0.0015778448815256128
unabhängig,57,0.0015506406594303435
schnell,55,0.0014962322152398053
ökologisch,55,0.0014962322152398053
fair,55,0.0014962322152398053
erhalten,55,0.0014962322152398053
zeit,54,0.001469027993144536
politik,54,0.001469027993144536
verbessern,54,0.001469027993144536
weit,54,0.001469027993144536
möglichkeit,54,0.001469027993144536
gehen,53,0.0014418237710492668
klar,53,0.0014418237710492668
verantwortung,52,0.0014146195489539977
förderung,51,0.0013874153268587284
gehören,50,0.0013602111047634593
gerade,50,0.0013602111047634593
gesellschaftlich,50,0.0013602111047634593
menschenrecht,50,0.0013602111047634593
entwicklung,50,0.0013602111047634593
stellen,50,0.0013602111047634593
etwa,49,0.0013330068826681901
national,49,0.0013330068826681901
